Aadithya Y , PESCS001 , B+ , Bangalore, 8.54 , fees paid , 80% , good , KCET ; 
Amit H , PESEC286 , A+ , Kerala , 7.27 , fees paid , 75.86% , good , PESSAT ;
Kushi K , PESEC287 , B+ , Hyderabad , 8.18 , fees paid , 61% , bad , PESSAT ;
Salman M , PESBT288 , AB+ , Mumbai , 6.78 , fees paid , 84.50% , bad , KCET ;
Jacky S , PESEE289 , A+ , Kerala , 6.82 , fees paid , 78% , bad , PESSAT ;
Hrithik J, PESME290 , B- , Kolkata , 8.10 , fees not paid , 81.03% , bad , OTHERS ;
Rithvik N , PESEC291 , B- , Hyderabad , 7.26 , fees paid , 72% , good , KCET ;
Rohan K , PESCS292 , AB+ , Chennai , 9.54 , fees paid , 85% , good , KCET ;
Dilip N , PESEE293 , AB+ , Bangalore , 8.81 , fees not paid , 87% , bad , PESSAT ;
Charan J , PESCS294 , O+ , Hyderabad , 8.47 , fees not paid , 63% , bad , PESSAT ;
Karan S , PESCS295 , AB+ , Delhi , 7.72 , fees paid , 87% , bad , PESSAT ;
Karana T , PESEE296 , O+ , Mumbai , 7.68 , fees paid , 75% , good , OTHERS ;
Krisna R , PESEC297 , A+ , Chennai , 7.27 , fees paid , 89.30% , bad , KCET ;
Anish M , PESME298 , AB+ , Bangalore , 7.82 , fees not paid , 68% , bad , KCET ;
Abisheesh M , PESEC299 , AB- , Mumbai , 8.69 , fees not paid , 91.97% , good , PESSAT ;
Ronit S , PESCS300 , O+ , Delhi , 8.04 , fees paid , 70.28% , good , PESSAT ;
Rohini K , PESBT301 , B+ , Hyderabad , 8.34 , fees paid , 70% , good , PESSAT ;
Subramanyam P , PESEE302 , A+ , Chennai , 8.28 , fees not paid , 63.87% , bad , PESSAT ;
Raja V , PESEC303 , O+ , Mumbai , 7.93 , fees paid , 77% , good , PESSAT ;
Paravarthi L , PESEC304 , O+ , Chennai , 7.04 , fees not paid , 80.28% , bad , OTHERS ;
Vignesh G , PESCS305 , O+ , Delhi , 6.86 , fees paid , 90.73% , bad , KCET ;
Aadidev A , PESME306 , B+ , Kolkata , 6.55 , fees paid , 72% , good , PESSAT ;
Aagney S , PESBT307 , AB+ , Kolkata , 8.00 , fees paid , 78% , bad , KCET ;
Aakarsh L , PESEC308 , AB- , Bangalore , 7.32 , fees not paid , 82% , bad , KCET ;
Aahan P , PESME309 , B+ , Hyderabad , 9.23 , fees not paid , 76.90% , good , PESSAT ;
Aatreya M , PESE310 , B+ , Hyderabad , 7.40 , fees paid , 87.84% , good , PESSAT ;
Aayod D , PESBT311 , B+ , Mumbai , 7.82 , fees paid , 82.01% , good , PESSAT ;
Dinesh L , PESCV312 , A+ , Chennai , 7.20 , fees paid , 94.02% , bad , PESSAT ;
Lokesh M , PESEC313 , AB- , Chennai , 6.39 , fees paid , 81% , bad , PESSAT ;
Abisumat P , PESCS314 , A+ , Kolkata , 9.74 , fees paid , 80.50% , good , OTHERS ;
Abhik R , PESCS315 , O+ , Delhi , 6.28 , fees not paid , 94.14% , good , OTHERS ;
Durgesh D , PESEE316 , B- , Chennai , 7.84 , fees paid , 64.87% , good , PESSAT ;
Doram K , PESBT317 , AB- , Hyderabad , 6.20 , fees paid , 70.18% , good , PESSAT ;
Nanadini K , PESEE318 , AB+ , Hyderabad , 9.54 , fees paid , 80.17% , good , KCET ;
Ahilan P , PESCV319 , A+ , Kolkata , 8.72 , fees paid , 70% , good , PESSAT ;
Anirudh L , PESEC320 , B+ , Bangalore , 8.41 , fees paid , 78% , bad , PESSAT ;
Anirud H , PESCV321 , A+ , Mumbai , 8.84 , fees paid , 83% , good , PESSAT ;
Hiremath N , PESBT322 , B- , Kolkata , 7.20 , fees not paid , 81.48% , bad , PESSAT ;
Himamshu B , PESEE323 , O+ , Chennai , 6.76 , fees paid , 73.02% , bad , OTHERS ;
Devansh K , PESEE324 , O+ , Bangalore , 6.04 , fees not paid , 80.81% , good , KCET ;
Divir S , PESME325 , AB- , Bangalore , 9.78 , fees paid , 70.27% , good , PESSAT ;
Bhuvanesh A , PESCV326 , AB+ , Mumbai , 8.54 , fees paid , 78.42% , good , PESSAT ;
Suhani M , PESEC327 , A+ , Delhi , 8.41 , fees paid , 80.40% , good , PESSAT ;
Pritam K , PESEE328 , B+ , Bangalore , 7.73 , fees paid , 82% , good , PESSAT ;
Nutan B , PESCS329 , B+ , Bangalore , 7.24 , fees paid , 84% , good , PESSAT ;
Akshay L , PESCS330 , B- , Chennai , 9.52 , fees not paid , 70.21% , good , PESSAT ;
Aakshay P , PESBT331 , O+ , Hyderabad , 8.00 , fees not paid , 70% , good , PESSAT ;
Anjunaik V  , PESCS332 , O+ , Mumbai , 6.63 , fees paid , 95% , bad , KCET ;
Varun D , PESEE333 , AB+ , Mumbai , 7.48 , fees paid , 93.01% , bad , KCET ;
Taruesh H , PESME334 , B- , Mumbai , 7.24 , fees paid , 76.78% , bad , PESSAT ;
Harish T , PESME335 , B- , Kolkata , 7.04 , fees paid , 82.04% , good , PESSAT ;
