Chaitra N , BMSCS078 , AB+ , Bangalore , 8.34 , fees paid , 87% , bad , KCET ;  
Saira N , BMSEC281 , A+ , Mumbai , 6.25 , fees paid , 87% , good , COMEDK ;
Yashaswini S , BMSBT282 , A+ , Delhi , 9.58 , fees paid , 76% , bad , KCET ;
Dravid T , BMSCV284 , O+ , Bangalore , 6.80 , fees paid , 90% , good , COMEDK ;
Ajey N , BMSEE285 , A+ , Pune , 8.71 , fees not paid , 70.39% , good , MGMT ;
Amit H , BMSEC286 , A+ , Kerala , 7.27 , fees paid , 75.86% , good , COMEDK ;
Kushi K , BMSEC287 , B+ , Hyderabad , 8.18 , fees paid , 61% , bad , COMEDK ;
Salman M , BMSBT288 , AB+ , Dehradun , 6.78 , fees paid , 84.50% , bad , KCET ;
Jacky S , BMSEE289 , A+ , Kerala , 6.82 , fees paid , 78% , bad , COMEDK ;
Hrithik J, BMSME290 , B- , Kolkata , 8.10 , fees not paid , 81.03% , bad , MGMT ;
Rithvik N , BMSEC291 , B- , Hyderabad , 7.26 , fees paid , 72% , good , KCET ;
Rohan K , BMSCS292 , AB+ , Chennai , 9.54 , fees paid , 85% , good , KCET ;
Dilip N , BMSEE293 , AB+ , Bangalore , 8.81 , fees not paid , 87% , bad , COMEDK ;
Charan J , BMSCS294 , O+ , Bangalore , 8.47 , fees not paid , 63% , bad , COMEDK ;
Karan S , BMSCS295 , AB+ , Delhi , 7.72 , fees paid , 80% , bad , COMEDK ;
Karana T , BMSEE296 , O+ , Mumbai , 7.68 , fees paid , 75% , good , MGMT ;
Krisna R , BMSEC297 , A+ , Bangalore , 7.27 , fees paid , 89.30% , bad , KCET ;
Anish M , BMSME298 , AB+ , Bangalore , 7.82 , fees not paid , 68% , bad , KCET ;
Abisheesh M , BMSEC299 , AB- , Mumbai , 8.69 , fees not paid , 91.97% , good , COMEDK ;
Ronit S , BMSCS300 , O+ , Delhi , 8.04 , fees paid , 70.28% , good , COMEDK ;
Rohini K , BMSBT301 , B+ , Hyderabad , 8.34 , fees paid , 70% , good , COMEDK ;
Subramanyam P , BMSEE302 , A+ , Chennai , 8.28 , fees not paid , 63.87% , bad , COMEDK ;
Raja V , BMSEC303 , O+ , Mumbai , 7.93 , fees paid , 77% , good , COMEDK ;
Paravarthi L , BMSEC304 , O+ , Chennai , 7.04 , fees not paid , 80.28% , bad , MGMT ;
Vignesh G , BMSCS305 , O+ , Delhi , 6.86 , fees paid , 90.73% , bad , KCET ;
Aadidev A , BMSME306 , B+ , Kolkata , 6.55 , fees paid , 72% , good , COMEDK ;
Aagney S , BMSBT307 , AB+ , Kolkata , 8.00 , fees paid , 78% , bad , KCET ;
Aakarsh L , BMSEC308 , AB- , Bangalore , 7.32 , fees not paid , 82% , bad , KCET ;
Aahan P , BMSME309 , B+ , Hyderabad , 9.23 , fees not paid , 76.90% , good , COMEDK ;
Aatreya M , BMSE310 , B+ , Hyderabad , 7.40 , fees paid , 87.84% , good , COMEDK ;
Aayod D , BMSBT311 , B+ , Mumbai , 7.82 , fees paid , 82.01% , good , COMEDK ;
Dinesh L , BMSCV312 , A+ , Chennai , 7.20 , fees paid , 94.02% , bad , COMEDK ;
Lokesh M , BMSEC313 , AB- , Chennai , 6.39 , fees paid , 81% , bad , COMEDK ;
Abisumat P , BMSCS314 , A+ , Kolkata , 9.74 , fees paid , 80.50% , good , MGMT ;
Abhik R , BMSCS315 , O+ , Delhi , 6.28 , fees not paid , 94.14% , good , MGMT ;
Durgesh D , BMSEE316 , B- , Chennai , 7.84 , fees paid , 64.87% , good , COMEDK ;
Doram K , BMSBT317 , AB- , Hyderabad , 6.20 , fees paid , 70.18% , good , KCET ;
Nanadini K , BMSEE318 , AB+ , Hyderabad , 9.54 , fees paid , 87.17% , good , KCET ;
Ahilan P , BMSCV319 , A+ , Kolkata , 8.72 , fees paid , 70% , good , COMEDK ;
Anirudh L , BMSEC320 , B+ , Bangalore , 8.41 , fees paid , 78% , bad , COMEDK ;
Anirud H , BMSCV321 , A+ , Mumbai , 8.84 , fees paid , 83% , good , COMEDK ;
Hiremath N , BMSBT322 , B- , Kolkata , 7.20 , fees not paid , 81.48% , bad , COMEDK ;
Himamshu B , BMSEE323 , O+ , Chennai , 6.79 , fees paid , 73.02% , bad , MGMT ;
Devansh K , BMSEE324 , O+ , Bangalore , 6.04 , fees not paid , 80.81% , good , KCET ;
Divir S , BMSME325 , AB- , Bangalore , 9.78 , fees paid , 70.27% , good , COMEDK ;
Bhuvanesh A , BMSCV326 , AB+ , Bangalore , 8.54 , fees paid , 78.42% , good , COMEDK ;
Suhani M , BMSEC327 , A+ , Delhi , 8.41 , fees paid , 80.40% , good , COMEDK ;
Pritam K , BMSEE328 , B+ , Bangalore , 7.73 , fees paid , 82% , good , COMEDK ;
Nutan B , BMSCS329 , B+ , Bangalore , 7.24 , fees paid , 84% , good , COMEDK ;
Akshay L , BMSCS330 , B- , Chennai , 9.52 , fees not paid , 70.21% , good , COMEDK ;
Aakshay P , BMSBT331 , O+ , Hyderabad , 8.00 , fees not paid , 70% , good , COMEDK ;
Anjunaik V  , BMSCS332 , O+ , Mumbai , 6.63 , fees paid , 95% , bad , KCET ;
Varun D , BMSEE333 , AB+ , Mumbai , 7.48 , fees paid , 93.01% , bad , KCET ;
Taruesh H , BMSME334 , B- , Mumbai , 7.24 , fees paid , 76.78% , bad , COMEDK ;
Harish T , BMSME335 , B- , Kolkata , 7.04 , fees paid , 82.04% , good , COMEDK ;

